1,Bitwolf,http://facebook.com/in/hac/habitasse/platea/dictumst/etiam.json,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,0,0,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,86
1,Latlux,https://constantcontact.com/quisque/porta/volutpat.aspx,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,0,1,mauris lacinia sapien quis libero nullam sit amet turpis elementum,436
1,Pannier,http://domainmarket.com/eleifend/luctus/ultricies/eu/nibh/quisque.aspx,consequat in consequat ut nulla sed accumsan felis ut at,1,1,ac est lacinia nisi venenatis tristique fusce congue diam id ornare,998
3,Flexidy,http://msu.edu/tellus.aspx,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,1,0,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,6
2,Fixflex,http://hatena.ne.jp/cum/sociis/natoque/penatibus/et.xml,primis in faucibus orci luctus et ultrices posuere cubilia curae,0,0,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,7
1,Hatity,http://purevolume.com/suspendisse.html,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,0,0,elit ac nulla sed vel enim sit amet nunc viverra,824
3,Asoka,https://abc.net.au/augue/vestibulum/ante/ipsum/primis.jpg,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,0,0,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,8
2,Viva,https://howstuffworks.com/est/et/tempus.json,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,1,0,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,7
1,Fintone,https://chronoengine.com/vitae/nisi/nam/ultrices/libero/non.png,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,0,1,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,568
3,Kanlam,https://apple.com/erat/id/mauris/vulputate/elementum.js,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,1,0,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,12
2,Fix San,https://huffingtonpost.com/nulla.jpg,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,0,0,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,11
3,Y-Solowarm,https://bloomberg.com/vestibulum/sed/magna/at.png,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,1,1,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,12
3,Greenlam,http://behance.net/morbi/sem/mauris/laoreet/ut.aspx,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,1,1,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,9
2,Andalax,http://samsung.com/consequat.jsp,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,1,0,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,70
2,Ventosanzap,https://technorati.com/magna/ac/consequat/metus.jpg,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,0,1,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,70
